annee,cumul_periode,rss,region,nom_etablissement,nom_installation,no_permis_installation,nb_visites_total,nb_usagers_75ans_et_plus_total,nb_usagers_sante_mentale_total,dms_total,nb_usagers_pec_total,delai_pec_total,nb_visites_ambulatoire,nb_usagers_75ans_et_plus_amb,nb_usagers_sante_mentale_amb,dms_ambulatoire,nb_usagers_pec_ambulatoire,delai_pec_ambulatoire,nb_visites_sur_civiere,nb_usagers_sur_civiere_plus_24h,nb_usagers_sur_civiere_plus_48h,dms_sur_civiere,nb_usagers_pec_sur_civiere,delai_pec_sur_civiere,nb_usagers_75ans_et_plus_civ,nb_usagers_sante_mentale_civ
2026-2027,1,06,Montréal,CIUSSS DU CENTRE-SUD-DE-L'ÎLE-DE-MONTRÉAL,Total établissement,,7353,1201,702,10.002807244,6350,2.0966644794,4684,378,258,4.875820761,3686,2.784794568,2669,636,99,19.000486033,2664,1.1445445445,823,444
2026-2027,1,06,Montréal,CIUSSS DU NORD-DE-L'ÎLE-DE-MONTRÉAL,Total établissement,,12792,2251,942,10.760046904,9446,3.0986717188,8842,719,385,5.5335111463,5515,4.0759435378,3950,1470,412,22.459547961,3931,1.7276073377,1532,557
2026-2027,1,06,Montréal,INSTITUT DE CARDIOLOGIE DE MONTRÉAL,Total établissement,,2100,568,68,8.1551353175,2024,1.7665872036,1463,290,61,4.0286521227,1387,1.9834542978,637,179,22,17.632442875,637,1.2943820862,278,7
2026-2027,1,07,Outaouais,CISSS DE L'OUTAOUAIS,Total établissement,,14003,2142,801,10.530673566,10355,4.4945767209,9861,884,329,5.8801666498,6412,4.13074773,4142,1240,446,21.602293243,3943,5.0862255897,1258,472
2026-2027,1,08,Abitibi-Témiscamingue,CISSS DE L'ABITIBI-TÉMISCAMINGUE,Total établissement,,9932,1403,562,6.1278303855,8355,2.9007042689,7983,823,391,4.6898510724,6430,3.23130521,1949,251,30,12.01771692,1925,1.7964112554,580,171
2026-2027,1,09,Côte-Nord,CISSS DE LA CÔTE-NORD,Total établissement,,8560,1071,529,7.3618334631,7124,3.014747255,6623,588,327,4.5937846226,5219,3.2950337442,1937,410,172,16.826359777,1905,2.2468652668,483,202
2026-2027,1,10,Nord-du-Québec,CENTRE RÉGIONAL DE SANTÉ ET DE SERVICES SOCIAUX DE LA BAIE-JAMES,Total établissement,,2007,205,168,3.8337755356,1905,1.0610059784,1686,159,113,2.3064365032,1590,1.030559399,321,25,9,11.855874005,315,1.2146887125,46,55
2026-2027,1,11,Gaspésie-Îles-de-la-Madeleine,CISSS DE LA GASPÉSIE,Total établissement,,7126,1305,303,6.1977421103,6255,1.9469169109,5764,816,204,3.6182698165,4910,2.1088324847,1362,349,88,17.11409916,1345,1.355834779,489,99
2026-2027,1,11,Gaspésie-Îles-de-la-Madeleine,CISSS DES ÎLES,Total établissement,,1183,197,40,4.7614745938,1059,1.5865061379,917,109,26,3.2590942688,795,1.7125852551,266,20,0,9.9407330827,264,1.206836069,88,14
2026-2027,1,12,Chaudière-Appalaches,CISSS DE CHAUDIÈRE-APPALACHES,Total établissement,,21284,3905,974,7.0315147007,18484,2.0055700876,16234,1942,505,3.8301675667,13445,2.361097558,5050,1181,353,17.322736359,5039,1.0569559106,1963,469
2026-2027,1,13,Laval,CISSS DE LAVAL,Total établissement,,7847,1675,545,11.719064858,6044,3.8563675638,4647,530,110,6.1183102599,2864,4.9690584264,3200,1008,156,19.852410677,3180,2.8542459818,1145,435
2026-2027,1,14,Lanaudière,CISSS DE LANAUDIÈRE,Total établissement,,14181,2796,928,9.765042839,10281,3.3543281025,9546,954,492,5.6944575971,5669,4.2227856667,4635,1393,145,18.148604159,4612,2.2868333213,1842,436
2026-2027,1,15,Laurentides,CISSS DES LAURENTIDES,Total établissement,,18180,3665,1259,11.503751283,13860,3.4176882315,11602,1332,422,5.7514894702,7326,4.2930892635,6578,2166,629,21.649348966,6534,2.4361779835,2333,837
2026-2027,1,16,Montérégie,CISSS DE LA MONTÉRÉGIE-CENTRE,Total établissement,,12043,2426,969,10.689005254,7903,4.6294380474,7609,774,300,6.2533612608,3474,5.9085471439,4434,1159,204,18.300826442,4429,3.6261359474,1652,669
2026-2027,1,16,Montérégie,CISSS DE LA MONTÉRÉGIE-EST,Total établissement,,12843,2753,715,10.980393989,9468,4.7758150261,7148,972,250,5.9173115635,3839,5.7097591242,5695,1439,333,17.335251439,5629,4.138861501,1781,465
2026-2027,1,16,Montérégie,CISSS DE LA MONTÉRÉGIE-OUEST,Total établissement,,9296,1643,627,11.843789981,7360,2.8549013813,6418,560,269,4.9378130951,4489,3.4390755179,2878,1026,485,27.244262412,2871,1.9415061535,1083,358
2022-2023,1,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,CENTRE HOSPITALIER RÉGIONAL DU GRAND-PORTAGE,51218352,1338,229,67,4.7612971267,1125,2.0860602469,984,91,37,3.1832065831,776,2.3294490979,354,3,0,9.147853892,349,1.5448861827,138,30
2022-2023,1,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE TROIS-PISTOLES,51236156,577,86,15,2.7819540728,508,1.0934640201,491,50,11,2.1995242136,422,1.1722452607,86,1,0,6.1072222222,86,0.7068863049,36,4
2022-2023,1,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,CLSC DE POHÉNÉGAMOOK,51219418,498,54,15,1.3152487729,443,0.518393529,472,47,12,1.0906497175,419,0.5236601697,26,0,0,5.3925854701,24,0.4264467593,7,3
2022-2023,1,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL D'AMQUI,51226892,897,120,26,3.9433274495,810,1.4582952675,486,32,17,3.0274102652,409,1.6829278729,411,3,0,5.0263828062,401,1.2291812136,88,9
2022-2023,1,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL DE MATANE,51218980,1123,175,56,4.3509016028,1015,2.1717066229,840,91,32,3.6799417989,740,2.3736452703,283,3,0,6.3424430703,275,1.6283080808,84,24
2022-2023,1,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL DE NOTRE-DAME-DU-LAC,51221877,774,110,16,4.0645901522,699,1.3216169925,612,46,11,2.2625403958,538,1.49247057,162,15,1,10.872333676,161,0.7506901311,64,5
2022-2023,1,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL NOTRE-DAME-DE-FATIMA,51221141,901,129,30,3.2906384881,837,1.2454911722,727,56,18,2.4186546691,664,1.3196389726,174,1,0,6.9339272031,173,0.9609007707,73,12
2022-2023,1,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL RÉGIONAL DE RIMOUSKI,51227882,1902,331,89,5.2878331289,1510,2.138834989,1348,132,63,3.8234794346,957,2.5526042029,554,17,1,8.8509175692,553,1.4227822986,199,26
2022-2023,1,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL D'ALMA,51219400,2009,312,80,5.0737739893,1637,2.291785787,1524,151,37,3.383019284,1160,2.4152562261,485,37,2,10.386578465,477,1.9915222455,161,43
2022-2023,1,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL DE CHICOUTIMI,51218394,3486,473,221,7.3629302926,2974,2.5888524621,2016,119,75,4.1405960648,1519,3.5439058957,1470,178,20,11.782131519,1455,1.5917898053,354,146
2022-2023,1,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL DE DOLBEAU-MISTASSINI,51219384,1203,198,61,4.3257823035,1094,1.8764498273,984,124,33,3.1269483966,877,2.0345654377,219,16,2,9.7123236936,217,1.2374295955,74,28
2022-2023,1,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL DE LA BAIE,51221364,1217,122,36,5.2923502693,1120,2.4530562996,972,47,20,3.9006921582,875,2.7354511111,245,18,3,10.813540816,245,1.4445034014,75,16
2022-2023,1,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL ET CENTRE D'HÉBERGEMENT DE ROBERVAL,51228203,1467,202,120,5.7662947815,1323,2.2774374318,1008,88,35,3.4639831349,870,2.5011577267,459,48,8,10.822351731,453,1.8477759382,114,85
2022-2023,1,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL ET CENTRE DE RÉADAPTATION DE JONQUIÈRE,51224541,1631,261,81,8.2750051093,1280,3.9767677951,1068,74,37,5.1752645131,726,4.3446479951,563,102,5,14.155152457,554,3.4946720818,187,44
2022-2023,1,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,CENTRE HOSPITALIER DE L'UNIVERSITÉ LAVAL,51217594,4926,292,495,7.6347831236,3975,1.7269402516,2875,53,160,4.1724806763,1932,2.5111024845,2051,236,79,12.488083726,2043,0.9853830152,239,335
2022-2023,1,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,HÔPITAL DE L'ENFANT-JÉSUS,51233914,3722,628,514,10.449271598,3324,1.5373596069,2087,194,143,3.748048102,1689,1.9519414841,1635,434,110,19.003065749,1635,1.1090851172,434,371
2022-2023,1,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,HÔPITAL DU SAINT-SACREMENT,51217529,2192,464,60,7.9058343471,1749,2.0799290071,1584,180,24,3.6750315657,1143,2.5284667542,608,167,49,18.928188962,606,1.2339246425,284,36
2022-2023,1,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,HÔPITAL SAINT-FRANÇOIS D'ASSISE,51217602,2634,616,96,9.6860763098,2082,2.0871958053,1592,154,51,4.0588079285,1043,2.7631338553,1042,279,47,18.283591917,1039,1.4086554914,462,45
2022-2023,1,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,L'HÔTEL-DIEU DE QUÉBEC,51217586,1231,316,70,8.4115206697,1079,1.4138077953,620,87,31,3.2967562724,476,1.6760037348,611,96,6,13.601625296,603,1.2068338861,229,39
2022-2023,1,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX CHAUVEAU,51225001,2414,137,33,2.9524156541,1688,1.7234718931,2171,110,26,2.7433602027,1449,1.8047095698,243,0,0,4.8201497485,239,1.2309472338,27,7
2022-2023,1,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE BAIE-SAINT-PAUL,51244804,713,108,15,3.9858956678,565,1.4547890855,570,58,8,2.3631028265,423,1.6560881271,143,7,2,10.454370629,142,0.8551447574,50,7
2022-2023,1,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE SAINT-MARC-DES-CARRIÈRES,51247344,933,113,19,2.9144370013,743,1.4302781516,740,56,12,2.1574155405,550,1.6533535354,193,2,0,5.8170063328,193,0.7945710996,57,7
2022-2023,1,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE SAINT-RAYMOND,51247302,1265,161,20,3.4523065437,953,1.8491931911,997,83,10,2.5846093837,692,2.1662576268,268,6,0,6.6802694859,261,1.0085472542,78,10
2022-2023,1,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE SAINTE-ANNE-DE-BEAUPRÉ,51225357,1049,123,26,3.1994984641,747,1.6484638554,892,81,19,2.6182660688,604,1.7631985835,157,3,0,6.5017869781,143,1.1638500389,42,7
2022-2023,1,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,HÔPITAL ET CLSC DE LA MALBAIE,51228690,799,123,33,5.2407471144,678,1.3712975254,639,73,19,2.7793705443,520,1.5977638889,160,31,6,15.070869792,158,0.6259651899,50,14
2022-2023,1,03,Capitale-Nationale,INSTITUT UNIVERSITAIRE DE CARDIOLOGIE ET DE PNEUMOLOGIE DE QUÉBEC - UNIVERSITÉ LAVAL,INSTITUT UNIVERSITAIRE DE CARDIOLOGIE ET DE PNEUMOLOGIE DE QUÉBEC,51232130,1743,504,26,8.1794439663,1617,1.9413291074,904,175,12,4.0012659784,780,2.4725213675,839,98,0,12.6813187,837,1.4463112306,329,14
2022-2023,1,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX AVELLIN-DALCOURT,51233583,1261,168,24,5.7650299586,1081,3.3692273101,1031,89,14,4.8394533355,855,3.8727534113,230,10,0,9.9140277778,226,1.4642944936,79,10
2022-2023,1,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX CHRIST-ROI,51246338,1501,154,47,5.6839236805,1095,4.2602016743,1278,71,26,4.7666308033,881,4.619796002,223,22,2,10.940875685,214,2.7798156802,83,21
2022-2023,1,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE FORTIERVILLE,51219160,961,60,21,2.4698303272,807,1.8791047088,884,51,17,2.3271414656,731,1.9249183007,77,0,0,4.107972583,76,1.4384502924,9,4
2022-2023,1,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DU HAUT-SAINT-MAURICE,51219731,730,125,52,5.0341076865,627,2.298013025,538,74,28,3.4107858323,436,2.50995158,192,7,0,9.5827907986,191,1.814216114,51,24
2022-2023,1,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,HÔPITAL DU CENTRE-DE-LA-MAURICIE,51220051,1994,391,170,6.9177685835,1684,2.0446786751,1198,96,40,3.788302263,892,2.628743149,796,82,2,11.627694026,792,1.3868686869,295,130
2022-2023,1,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,HÔPITAL SAINTE-CROIX,51228781,2681,373,180,8.8459581831,2053,3.4370846187,1695,118,52,6.0854498525,1087,4.3855195237,986,157,13,13.591456784,966,2.3698498965,255,128
2022-2023,1,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,HÔTEL-DIEU D'ARTHABASKA,51228039,2218,379,129,7.295545286,1826,2.1347496045,1346,102,27,3.7855167575,965,2.7970192861,872,147,15,12.713548038,861,1.3924845141,277,102
2022-2023,1,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,PAVILLON SAINTE-MARIE,51220168,3748,798,231,11.045636191,2754,3.5109870491,2115,175,77,5.6210027581,1142,5.302702374,1633,435,92,18.071416786,1612,2.241670113,623,154
2022-2023,1,05,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA MRC DE COATICOOK,51247617,940,63,32,2.1703664303,852,1.2992957746,713,28,18,1.9073418264,630,1.3268121693,227,0,0,2.9965186001,222,1.2212087087,35,14
2022-2023,1,05,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE MEMPHRÉMAGOG,51219046,1329,257,49,7.2430210685,1165,2.1247794468,970,116,25,3.3072322451,807,2.2933550186,359,78,39,17.877325132,358,1.7447780881,141,24
2022-2023,1,05,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DES SOURCES,51247583,1070,116,32,5.8093431983,848,3.5594274109,923,65,24,4.7830730107,704,3.8581597222,147,14,4,12.253202948,144,2.0989583333,51,8
2022-2023,1,05,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DU GRANIT,51223832,911,144,24,6.2294060251,752,3.2918144208,725,64,16,4.645289272,567,3.6363977072,186,24,3,12.404054659,185,2.2357132132,80,8
2022-2023,1,05,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CHUS - HÔPITAL FLEURIMONT,51216687,3000,376,84,7.8208111111,2557,2.64621301,1660,66,33,5.3257931727,1217,4.1810052041,1340,131,9,10.911654229,1340,1.252300995,310,51
2022-2023,1,05,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CHUS - HÔTEL-DIEU DE SHERBROOKE,51216695,3041,547,397,10.463948263,2569,2.7445828468,1456,97,63,5.0944139194,985,4.2227241963,1585,321,90,15.396466877,1584,1.8254103535,450,334
2022-2023,1,05,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,HÔPITAL BROME-MISSISQUOI-PERKINS,51229185,1649,293,58,9.9307467489,1374,2.8788634158,1200,101,28,4.5837083333,929,3.1759314077,449,147,68,24.221272581,445,2.2586922597,192,30
2022-2023,1,05,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,HÔPITAL DE GRANBY,51228120,2319,358,157,9.2837089742,1830,3.3717452945,1549,110,66,5.3557305789,1062,4.1953026261,770,210,27,17.185577201,768,2.2329199219,248,91
2022-2023,1,06,Montréal,CENTRE HOSPITALIER DE L'UNIVERSITÉ DE MONTRÉAL,CENTRE HOSPITALIER DE L'UNIVERSITÉ DE MONTRÉAL,51236297,4095,574,346,14.866719577,3161,3.3484415094,2412,128,125,7.7308112217,1496,5.1611259655,1683,674,240,25.093582888,1665,1.7197472472,446,221
2022-2023,1,06,Montréal,CENTRE HOSPITALIER UNIVERSITAIRE SAINTE-JUSTINE,CHU SAINTE-JUSTINE,51222800,6417,0,144,5.6216115613,4977,2.912260956,4469,0,67,5.1104966933,3150,3.4474510582,1948,22,1,6.7941846338,1827,1.9895194004,0,77
2022-2023,1,06,Montréal,CENTRE UNIVERSITAIRE DE SANTÉ MCGILL,HÔPITAL DE LACHINE,51228310,1111,107,25,5.652530253,1026,2.4163336582,940,53,10,3.6140854019,855,2.4434161793,171,37,9,16.858016569,171,2.2809210526,54,15
2022-2023,1,06,Montréal,CENTRE UNIVERSITAIRE DE SANTÉ MCGILL,HÔPITAL GÉNÉRAL DE MONTRÉAL,51248219,1991,319,273,16.695076316,1711,1.8399301903,843,42,67,5.7695456043,571,2.8867445028,1148,363,184,24.717918118,1140,1.3156047758,277,206
2022-2023,1,06,Montréal,CENTRE UNIVERSITAIRE DE SANTÉ MCGILL,HÔPITAL ROYAL VICTORIA,51223295,3091,423,80,15.555730616,2353,4.0811444019,2040,123,41,8.2291819172,1318,5.2345500337,1051,453,206,29.776624379,1035,2.612363124,300,39
2022-2023,1,06,Montréal,CENTRE UNIVERSITAIRE DE SANTÉ MCGILL,L'HÔPITAL DE MONTRÉAL POUR ENFANTS,51223279,5257,1,208,6.2709154989,4638,2.2089388386,4080,0,66,5.487719567,3469,2.5743686141,1177,45,6,8.985817285,1169,1.1245283243,1,142
2022-2023,1,06,Montréal,CIUSSS DE L'EST-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL MAISONNEUVE-ROSEMONT,12934659,4170,745,341,14.244079137,2949,3.6988247429,2442,175,78,5.9924574575,1260,5.0337674162,1728,616,314,25.905225051,1689,2.7029527663,570,263
2022-2023,1,06,Montréal,CIUSSS DE L'EST-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL SANTA CABRINI,51235919,2207,539,56,11.872837059,1767,2.8826628624,1307,114,19,5.046676018,870,3.9774042146,900,310,101,21.785939815,897,1.820873591,425,37
2022-2023,1,06,Montréal,CIUSSS DE L'EST-DE-L'ÎLE-DE-MONTRÉAL,INSTITUT UNIVERSITAIRE EN SANTÉ MENTALE DE MONTRÉAL,51235307,321,15,321,20.300155763,315,1.4153042328,139,1,139,3.3566746603,133,1.6632936508,182,114,41,33.240506716,182,1.2340811966,14,182
2022-2023,1,06,Montréal,CIUSSS DE L'OUEST-DE-L'ÎLE-DE-MONTRÉAL,CENTRE HOSPITALIER DE ST. MARY,51248243,2071,365,153,9.2120560384,1973,1.8450770119,1369,92,63,4.9461261261,1273,2.1449764336,702,157,17,17.53122705,700,1.2996884921,273,90
2022-2023,1,06,Montréal,CIUSSS DE L'OUEST-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL DE LASALLE,51224392,1555,251,42,10.569066631,1196,2.8612551096,1180,84,11,4.9739500942,827,3.323637982,375,146,81,28.175033333,369,1.8249661247,167,31
2022-2023,1,06,Montréal,CIUSSS DE L'OUEST-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL DOUGLAS,51235190,351,9,332,6.5540242165,308,1.9889430014,198,7,179,3.3226010101,155,1.9693458781,153,7,0,10.735866013,153,2.0087962963,2,153
2022-2023,1,06,Montréal,CIUSSS DE L'OUEST-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL GÉNÉRAL DU LAKESHORE,51228278,2365,502,191,15.42234085,1944,2.7661779835,1484,137,25,7.327384696,1065,3.6339084507,881,322,186,29.05788561,879,1.7148321957,365,166
2022-2023,1,06,Montréal,CIUSSS DU CENTRE-OUEST-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL GÉNÉRAL JUIF,51248250,5490,1006,298,10.15268139,4801,2.4734767641,2063,117,37,4.4431506167,1465,3.0238208191,3427,495,110,13.58972895,3336,2.2317938982,889,261
2022-2023,1,06,Montréal,CIUSSS DU CENTRE-SUD-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL DE VERDUN,51218097,2394,380,186,9.1363147452,2140,1.9913811007,1570,90,80,4.1221010262,1317,2.479850038,824,253,31,18.690095739,823,1.2097120967,290,106
2022-2023,1,06,Montréal,CIUSSS DU CENTRE-SUD-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL NOTRE-DAME,51236313,2157,278,277,15.264199892,1877,2.1825201267,1342,51,116,5.5975057957,1065,2.8915766823,815,365,154,31.181627471,812,1.2525383142,227,161
2022-2023,1,06,Montréal,CIUSSS DU NORD-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL DU SACRÉ-COEUR-DE-MONTRÉAL,12475976,3836,729,204,12.057902981,3182,2.7369462777,2511,201,99,5.9950080756,1864,3.6536668455,1325,510,180,23.547660797,1318,1.4404613472,528,105
2022-2023,1,06,Montréal,CIUSSS DU NORD-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL EN SANTÉ MENTALE ALBERT-PRÉVOST,51848752,239,13,238,19.358994654,238,0.4596031746,122,5,121,4.6352641166,121,0.5317745638,117,73,32,34.711944444,117,0.3849643875,8,117
2022-2023,1,06,Montréal,CIUSSS DU NORD-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL FLEURY,51228492,1832,274,58,10.144280689,1323,3.2893161586,1349,103,32,5.4435270983,843,3.9911674575,483,207,31,23.273300552,480,2.0566898148,171,26
2022-2023,1,06,Montréal,CIUSSS DU NORD-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL JEAN-TALON,51228500,2454,279,202,7.3167600516,1928,3.0008097049,1825,73,80,4.7852458143,1302,3.7580069124,629,105,7,14.661773538,626,1.4259362797,206,122
2022-2023,1,06,Montréal,INSTITUT DE CARDIOLOGIE DE MONTRÉAL,INSTITUT DE CARDIOLOGIE DE MONTRÉAL,51248201,1130,303,38,10.435776057,1106,1.1858340868,678,115,31,3.4186340544,656,1.3853103828,452,164,27,20.961489061,450,0.8950419753,188,7
2022-2023,1,07,Outaouais,CISSS DE L'OUTAOUAIS,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE MANSFIELD-ET-PONTEFRACT,51245058,633,53,17,3.144692382,602,1.2302251753,618,51,17,2.9876357425,587,1.239912455,15,0,0,9.6154259259,15,0.8511296296,2,0
2022-2023,1,07,Outaouais,CISSS DE L'OUTAOUAIS,CLSC ET CENTRE D'HÉBERGEMENT DE LA PETITE-NATION,51219491,550,79,24,2.5165707071,490,1.0244370748,504,65,21,2.3409011243,444,1.0692861612,46,0,0,4.4412983092,46,0.5915458937,14,3
2022-2023,1,07,Outaouais,CISSS DE L'OUTAOUAIS,HÔPITAL DE GATINEAU,51221703,2389,283,334,11.285806707,1535,3.3719131379,1507,97,92,4.5774168694,668,3.8494070193,882,271,115,22.74787415,867,3.0040170447,186,242
2022-2023,1,07,Outaouais,CISSS DE L'OUTAOUAIS,HÔPITAL DE HULL,51221711,1998,335,82,11.547327466,1456,2.536404533,1361,107,56,4.631368275,823,2.8953668827,637,201,118,26.323811704,633,2.0696967702,228,26
2022-2023,1,07,Outaouais,CISSS DE L'OUTAOUAIS,HÔPITAL DE MANIWAKI,51221893,775,115,33,6.3887537634,700,1.9280035714,508,63,17,3.3084169948,438,1.9693061898,267,37,15,12.249469413,262,1.8589556828,52,16
2022-2023,1,07,Outaouais,CISSS DE L'OUTAOUAIS,HÔPITAL ET CHSLD DE PAPINEAU,51228823,1375,160,60,7.5377228283,1018,2.5980179,1028,59,27,3.1901432123,674,2.8497832179,347,89,45,20.417584054,344,2.1047335271,101,33
2022-2023,1,07,Outaouais,CISSS DE L'OUTAOUAIS,HÔPITAL ET CHSLD DU PONTIAC,51219459,613,56,24,4.3626608664,554,1.9361737866,588,49,23,4.2303462774,530,1.9611215933,25,0,0,7.4747,24,1.3852430556,7,1
2022-2023,1,07,Outaouais,CISSS DE L'OUTAOUAIS,HÔPITAL ET CHSLD MÉMORIAL DE WAKEFIELD / WAKEFIELD MEMORIAL HOSPITAL,51228799,886,62,27,4.5597683095,771,2.1754788154,755,42,21,3.5333741722,645,2.201378553,131,15,1,10.475245971,126,2.0428968254,20,6
2022-2023,1,08,Abitibi-Témiscamingue,CISSS DE L'ABITIBI-TÉMISCAMINGUE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA SARRE,51247559,1095,140,58,5.7100870117,969,2.516708233,915,85,49,4.6730758956,792,2.6977409512,180,12,2,10.981560185,177,1.7066635279,55,9
2022-2023,1,08,Abitibi-Témiscamingue,CISSS DE L'ABITIBI-TÉMISCAMINGUE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE TÉMISCAMING-KIPAWA,51247476,276,18,25,2.4022624799,266,0.9228519215,273,16,25,2.2522588523,263,0.9060551331,3,1,0,16.052592593,3,2.3953703704,2,0
